folder_name,candidate_id,function_name,status,gate_status,fail,very_suspicious,suspicious,mildly_suspicious,unusual,normalish,normal,total_results,score_file,stream_file,report_file
candidate_0100717,100718,TwistCandidate_100718,REPORT,TOO_MANY_FAIL,4,0,1,0,0,0,41,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0100717/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0100717/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0100717/practrand_c_034BLK.txt
candidate_0101567,101568,TwistCandidate_101568,REPORT,TOO_MANY_FAIL,3,1,0,0,2,0,40,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0101567/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0101567/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0101567/practrand_c_034BLK.txt
candidate_0102862,102863,TwistCandidate_102863,REPORT,TOO_MANY_FAIL,4,2,1,0,0,0,39,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0102862/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0102862/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0102862/practrand_c_034BLK.txt
candidate_0106882,106883,TwistCandidate_106883,REPORT,TOO_MANY_FAIL,4,0,0,1,1,0,40,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0106882/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0106882/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0106882/practrand_c_034BLK.txt
candidate_0108170,108171,TwistCandidate_108171,REPORT,TOO_MANY_FAIL,3,1,0,1,1,0,40,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0108170/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0108170/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0108170/practrand_c_034BLK.txt
candidate_0109040,109041,TwistCandidate_109041,REPORT,TOO_MANY_FAIL,4,0,1,0,0,0,41,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0109040/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0109040/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0109040/practrand_c_034BLK.txt
candidate_0112429,112430,TwistCandidate_112430,REPORT,TOO_MANY_FAIL,4,0,0,0,1,0,41,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0112429/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0112429/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0112429/practrand_c_034BLK.txt
candidate_0115418,115419,TwistCandidate_115419,REPORT,TOO_MANY_FAIL,4,1,0,1,3,0,37,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0115418/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0115418/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0115418/practrand_c_034BLK.txt
candidate_0115614,115615,TwistCandidate_115615,REPORT,TOO_MANY_FAIL,4,0,0,1,2,0,39,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0115614/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0115614/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0115614/practrand_c_034BLK.txt
candidate_0117155,117156,TwistCandidate_117156,REPORT,TOO_MANY_FAIL,4,0,1,0,1,0,40,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0117155/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0117155/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0117155/practrand_c_034BLK.txt
candidate_0118739,118740,TwistCandidate_118740,REPORT,TOO_MANY_FAIL,4,0,0,0,1,0,41,46,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0118739/scores_practrand_c_034BLK.txt,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0118739/c_byte_stream_034BLK.bin,secret_34_outputs_retry/ladder_passers_00001_b/candidate_0118739/practrand_c_034BLK.txt
