NIST STS cat test results
candidate_index=33 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_33/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=37 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_37/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=40 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_40/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=42 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_42/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=52 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_52/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=53 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_53/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=61 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_61/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=63 pass_rows=186 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_63/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=4 pass_rows=160 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_04/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=20 pass_rows=160 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_20/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=31 pass_rows=160 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_31/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=34 pass_rows=160 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_34/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=38 pass_rows=160 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_38/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=44 pass_rows=160 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_44/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=50 pass_rows=160 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_50/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=58 pass_rows=160 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_58/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=62 pass_rows=160 fail_rows=2 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_62/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=21 pass_rows=185 fail_rows=3 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_21/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=22 pass_rows=185 fail_rows=3 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_22/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=43 pass_rows=185 fail_rows=3 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_43/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=48 pass_rows=185 fail_rows=3 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_48/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=51 pass_rows=185 fail_rows=3 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_51/AlgorithmTesting/finalAnalysisReport.txt
