		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 39.046875	M = 20000	N = 8	m = 9	n = 160000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100110000    0   31   34   27   49   23   33   58 66.525298 0.000000 FAILURE  78
100111000    0    0    0   39   22   35   36   39 129.489506 0.000000 FAILURE  79
101000000  287  243  156  119   74  106   76   91 3519.541838 0.000000 FAILURE  80
101000100    8   52   42   34   40   25   45   42 37.289787 0.000010 FAILURE  81
101001000   78    0   18   23   71   21   39   56 142.367496 0.000000 FAILURE  82
101001100    0    0    0    3    5    7   19   35 224.485262 0.000000 FAILURE  83
101010000    0   63   66   25   59   66   48   45 112.864711 0.000000 FAILURE  84
101010100    0    0    0    3   18   13   27   23 195.876978 0.000000 FAILURE  85
101011000    9   20    0   33   59   57   55   41 100.768685 0.000000 FAILURE  86
101011100    0    0    0   16   11   22   27   29 170.219468 0.000000 FAILURE  87
101100000    0   62   68   67   39   68   65   59 147.784145 0.000000 FAILURE  88
101100100    0    0    0   49    8   10   31   27 177.160326 0.000000 FAILURE  89
101101000    0    0    1   11   14   38   34   19 167.859510 0.000000 FAILURE  90
101101100    0    0    0   17    3    3   10   11 245.968989 0.000000 FAILURE  91
101110000    9    3    0   38   42   31   48   39 102.781104 0.000000 FAILURE  92
101110100  218  426  292   74   16   51   33   27 6562.064705 0.000000 FAILURE  93
101111000    7    0   19   34    4   31   29   26 120.300399 0.000000 FAILURE  94
101111100    0    0    0    2   12   34   17   12 209.742972 0.000000 FAILURE  95
110000000    0    0    4   37   54  126   93   73 427.109004 0.000000 FAILURE  96
110000010   46   51   33   89   70   71   89   74 222.934575 0.000000 FAILURE  97
110000100    0    0    1   54   57   45   58   44 144.628984 0.000000 FAILURE  98
110001000    6    0   20   54   71   32   55   39 119.905694 0.000000 FAILURE  99
110001010    0    1    0   24   11   24   48   30 156.183014 0.000000 FAILURE 100
110010000    0    0    1   40   29   41   43   39 122.285511 0.000000 FAILURE 101
110010010    0    0    0   50   10   23   30   36 155.864436 0.000000 FAILURE 102
110010100    7    0   18   34   50   35   24   14 106.186990 0.000000 FAILURE 103
110011000    0    0    1   26   33   25   31   42 131.719551 0.000000 FAILURE 104
110011010    0    0    0    5    1    5   11   21 250.287580 0.000000 FAILURE 105
110100000  696  326   70   88   77   86   55   77 13838.660836 0.000000 FAILURE 106
110100010    0   32   32   46   22   12   43   40 71.784727 0.000000 FAILURE 107
110100100   78    0   18   22   52   21   27   34 117.558148 0.000000 FAILURE 108
110101000    0    0    0   15   17   16   13   28 184.557951 0.000000 FAILURE 109
110101010    0    0    0   12   12   20   29   21 180.759014 0.000000 FAILURE 110
110101100    9   20    0   19   28   21   17   12 128.621485 0.000000 FAILURE 111
110110000    0   62   69   61   23   32   27   37 102.927567 0.000000 FAILURE 112
110110010    6    0   18   26    3   12   15   28 157.846238 0.000000 FAILURE 113
110110100    0    0    0   19   10   20   22   11 192.227814 0.000000 FAILURE 114
110111000    9    3    0   27   32   20   18   16 139.242124 0.000000 FAILURE 115
110111010  140  219  138   31    8   44   12   15 1449.189262 0.000000 FAILURE 116
110111100    7    0   18   36    9    1   11   11 183.435895 0.000000 FAILURE 117
111000000    0   31   46   49   61  109   85   74 276.591347 0.000000 FAILURE 118
111000010    0    0    0   50   93   17   57   44 223.426095 0.000000 FAILURE 119
111000100    0    0    0   18   22    6   29   27 175.972900 0.000000 FAILURE 120
111000110    0    0    0   11   30   14   26   14 181.842179 0.000000 FAILURE 121
111001000    7    0    8   60   56   30   50   52 122.111741 0.000000 FAILURE 122
111001010   51    0   37   17   47   25   25   20 78.867084 0.000000 FAILURE 123
111001100    9   19    0    2   11   13   16   25 169.344000 0.000000 FAILURE 124
111010000  813  704  644  170  118  145   79   68 38240.647861 0.000000 FAILURE 125
111010010  114    0   18   23   43   20   29   26 224.879140 0.000000 FAILURE 126
111010100    0    0    0   16   36    5   10   23 195.279541 0.000000 FAILURE 127
111010110    9   20    0    2    0    3   10   10 229.685941 0.000000 FAILURE 128
111011000    0   64   69   80   30   34   31   29 132.254927 0.000000 FAILURE 129
111011010    0    0    0   15   10   12   14    8 220.273416 0.000000 FAILURE 130
111011100    0    0    0   18   28   16   17   13 180.975813 0.000000 FAILURE 131
111100000    0   32   34   58   58   63   60   62 102.153051 0.000000 FAILURE 132
111100010    0    0    0   17    7   23   15   25 188.534794 0.000000 FAILURE 133
111100100    0    0    0   28   22   21   30   27 146.675329 0.000000 FAILURE 134
111100110    9   19    0   13    1    5    6   10 213.167063 0.000000 FAILURE 135
111101000    0   32   32   30   38   17   44   42 58.948939 0.000000 FAILURE 136
111101010    0    0    0    8    1   16   11   11 240.692183 0.000000 FAILURE 137
111101100    0    1    0   29   17    7   17    8 200.205498 0.000000 FAILURE 138
111101110  115  146   86    8    7   18   15   14 610.396315 0.000000 FAILURE 139
111110000    0   31   34   33   76   35   45   41 81.360265 0.000000 FAILURE 140
111110010    0    0    0   25    8   31   16   16 181.707300 0.000000 FAILURE 141
111110100    0   33   32    8   29   12   16   12 123.656637 0.000000 FAILURE 142
111110110    0    1    0   11    7    0    2    3 278.217335 0.000000 FAILURE 143
111111000    0   31   35   19   15    9   19   24 109.015299 0.000000 FAILURE 144
111111010    0    0    0    0    1    5    5    3 295.612509 0.000000 FAILURE 145
111111100    0    0    1   15   11    9    9    6 231.944120 0.000000 FAILURE 146
111111110    0    0    0    0    0    0    1    0 320.932409 0.000000 FAILURE 147

